metadata_vote_id,vote_type,voting_id,aktør_id,metadata_opdateringsdato
969056,1,1327,3082,2018-01-25T15:53:28.15
969057,2,1327,220,2018-01-25T15:53:28.15
969058,2,1327,85,2018-01-25T15:53:28.15
969059,1,1327,303,2018-01-25T15:53:28.15
969060,1,1327,94,2018-01-25T15:53:28.15
969061,1,1327,98,2018-01-25T15:53:28.15
969062,1,1327,3084,2018-01-25T15:53:28.15
969063,1,1327,259,2018-01-25T15:53:28.15
969064,2,1327,171,2018-01-25T15:53:28.15
969065,1,1327,77,2018-01-25T15:53:28.15
969066,2,1327,184,2018-01-25T15:53:28.15
969067,2,1327,121,2018-01-25T15:53:28.15
969068,1,1327,211,2018-01-25T15:53:28.15
969069,2,1327,120,2018-01-25T15:53:28.15
969070,1,1327,34,2018-01-25T15:53:28.15
969071,2,1327,1385,2018-01-25T15:53:28.15
969072,2,1327,138,2018-01-25T15:53:28.15
969073,2,1327,95,2018-01-25T15:53:28.15
969074,2,1327,197,2018-01-25T15:53:28.15
969075,1,1327,1146,2018-01-25T15:53:28.15
969076,1,1327,70,2018-01-25T15:53:28.15
969077,2,1327,244,2018-01-25T15:53:28.15
969078,1,1327,2103,2018-01-25T15:53:28.15
969079,2,1327,1883,2018-01-25T15:53:28.15
969080,2,1327,273,2018-01-25T15:53:28.15
969081,2,1327,47,2018-01-25T15:53:28.15
969082,2,1327,272,2018-01-25T15:53:28.15
969083,1,1327,1454,2018-01-25T15:53:28.15
969084,1,1327,173,2018-01-25T15:53:28.15
969085,1,1327,271,2018-01-25T15:53:28.15
969086,2,1327,260,2018-01-25T15:53:28.15
969087,2,1327,201,2018-01-25T15:53:28.15
969088,1,1327,1755,2018-01-25T15:53:28.15
969089,2,1327,1502,2018-01-25T15:53:28.15
969090,1,1327,49,2018-01-25T15:53:28.15
969091,1,1327,1362,2018-01-25T15:53:28.15
969092,1,1327,71,2018-01-25T15:53:28.15
969093,2,1327,17,2018-01-25T15:53:28.15
969094,2,1327,158,2018-01-25T15:53:28.15
969095,1,1327,117,2018-01-25T15:53:28.15
969096,2,1327,1619,2018-01-25T15:53:28.15
969097,2,1327,4965,2018-01-25T15:53:28.15
969098,1,1327,365,2018-01-25T15:53:28.15
969099,1,1327,210,2018-01-25T15:53:28.15
969100,1,1327,1378,2018-01-25T15:53:28.15
969101,1,1327,668,2018-01-25T15:53:28.15
969102,1,1327,362,2018-01-25T15:53:28.15
969103,1,1327,1882,2018-01-25T15:53:28.15
969104,1,1327,252,2018-01-25T15:53:28.15
969105,2,1327,280,2018-01-25T15:53:28.15
969106,2,1327,235,2018-01-25T15:53:28.15
969107,2,1327,38,2018-01-25T15:53:28.15
969108,1,1327,676,2018-01-25T15:53:28.15
969109,1,1327,677,2018-01-25T15:53:28.15
969110,1,1327,64,2018-01-25T15:53:28.15
969111,1,1327,24,2018-01-25T15:53:28.15
969112,2,1327,257,2018-01-25T15:53:28.15
969113,1,1327,4957,2018-01-25T15:53:28.15
969114,1,1327,4515,2018-01-25T15:53:28.15
969115,2,1327,384,2018-01-25T15:53:28.15
969116,1,1327,130,2018-01-25T15:53:28.15
969117,1,1327,1410,2018-01-25T15:53:28.15
969118,2,1327,224,2018-01-25T15:53:28.15
969119,2,1327,3085,2018-01-25T15:53:28.15
969120,1,1327,1951,2018-01-25T15:53:28.15
969121,1,1327,665,2018-01-25T15:53:28.15
969122,2,1327,33,2018-01-25T15:53:28.15
969123,1,1327,649,2018-01-25T15:53:28.15
969124,1,1327,193,2018-01-25T15:53:28.15
969125,1,1327,56,2018-01-25T15:53:28.15
969126,1,1327,163,2018-01-25T15:53:28.15
969127,2,1327,297,2018-01-25T15:53:28.15
969128,2,1327,133,2018-01-25T15:53:28.15
969129,1,1327,1124,2018-01-25T15:53:28.15
969130,1,1327,80,2018-01-25T15:53:28.15
969131,2,1327,671,2018-01-25T15:53:28.15
969132,1,1327,3090,2018-01-25T15:53:28.15
969133,1,1327,4956,2018-01-25T15:53:28.15
969134,2,1327,264,2018-01-25T15:53:28.15
969135,2,1327,1358,2018-01-25T15:53:28.15
969136,1,1327,725,2018-01-25T15:53:28.15
969137,1,1327,81,2018-01-25T15:53:28.15
969138,1,1327,1357,2018-01-25T15:53:28.15
969139,2,1327,653,2018-01-25T15:53:28.15
969140,2,1327,1280,2018-01-25T15:53:28.15
969141,1,1327,82,2018-01-25T15:53:28.15
969142,2,1327,187,2018-01-25T15:53:28.15
969143,1,1327,48,2018-01-25T15:53:28.15
969144,2,1327,226,2018-01-25T15:53:28.15
969145,2,1327,348,2018-01-25T15:53:28.15
969146,1,1327,179,2018-01-25T15:53:28.15
969147,2,1327,144,2018-01-25T15:53:28.15
969148,2,1327,1822,2018-01-25T15:53:28.15
969149,1,1327,212,2018-01-25T15:53:28.15
969150,2,1327,106,2018-01-25T15:53:28.15
969151,1,1327,1749,2018-01-25T15:53:28.15
969152,2,1327,116,2018-01-25T15:53:28.15
969153,2,1327,5,2018-01-25T15:53:28.15
969154,1,1327,1090,2018-01-25T15:53:28.15
969155,1,1327,206,2018-01-25T15:53:28.15
969156,1,1327,129,2018-01-25T15:53:28.15
969157,1,1327,125,2018-01-25T15:53:28.15
969158,1,1327,182,2018-01-25T15:53:28.15
969159,1,1327,145,2018-01-25T15:53:28.15
969160,1,1327,223,2018-01-25T15:53:28.15
969161,1,1327,10691,2018-01-25T15:53:28.15
969162,2,1327,1413,2018-01-25T15:53:28.15
969163,2,1327,1162,2018-01-25T15:53:28.15
969164,3,1327,221,2021-01-28T20:14:02.903
969165,3,1327,5182,2021-01-28T20:14:02.97
969166,3,1327,126,2021-01-28T20:14:03.02
969167,3,1327,258,2021-01-28T20:14:03.047
969168,3,1327,351,2021-01-28T20:14:03.077
969169,3,1327,152,2021-01-28T20:14:03.107
969170,3,1327,195,2021-01-28T20:14:03.127
969171,3,1327,856,2021-01-28T20:14:03.157
969172,3,1327,1455,2021-01-28T20:14:03.2
969173,3,1327,50,2021-01-28T20:14:03.223
969174,3,1327,249,2021-01-28T20:14:03.253
969175,3,1327,183,2021-01-28T20:14:03.277
969176,3,1327,198,2021-01-28T20:14:03.307
969177,3,1327,648,2021-01-28T20:14:03.34
969178,3,1327,1325,2021-01-28T20:14:03.377
969179,3,1327,155,2021-01-28T20:14:03.41
969180,3,1327,124,2021-01-28T20:14:03.43
969181,3,1327,664,2021-01-28T20:14:03.477
969182,3,1327,3088,2021-01-28T20:14:03.51
969183,3,1327,205,2021-01-28T20:14:03.56
969184,3,1327,1371,2021-01-28T20:14:03.617
969185,3,1327,216,2021-01-28T20:14:03.657
969186,3,1327,654,2021-01-28T20:14:03.68
969187,3,1327,43,2021-01-28T20:14:03.707
969188,3,1327,3092,2021-01-28T20:14:03.733
969189,3,1327,92,2021-01-28T20:14:03.763
969190,3,1327,663,2021-01-28T20:14:03.783
969191,3,1327,265,2021-01-28T20:14:03.813
969192,3,1327,288,2021-01-28T20:14:03.84
969193,3,1327,246,2021-01-28T20:14:03.87
969194,3,1327,6689,2021-01-28T20:14:03.897
969195,3,1327,1833,2021-01-28T20:14:03.91
969196,3,1327,678,2021-01-28T20:14:03.94
969197,3,1327,67,2021-01-28T20:14:03.967
969198,3,1327,199,2021-01-28T20:14:04.003
969199,3,1327,55,2021-01-28T20:14:04.02
969200,3,1327,178,2021-01-28T20:14:04.053
969201,3,1327,154,2021-01-28T20:14:04.087
969202,3,1327,180,2021-01-28T20:14:04.117
969203,3,1327,247,2021-01-28T20:14:04.143
969204,3,1327,670,2021-01-28T20:14:04.18
969205,3,1327,1844,2021-01-28T20:14:04.203
969206,3,1327,1777,2021-01-28T20:14:04.233
969207,3,1327,352,2021-01-28T20:14:04.26
969208,3,1327,28,2021-01-28T20:14:04.287
969209,3,1327,96,2021-01-28T20:14:04.32
969210,3,1327,217,2021-01-28T20:14:04.34
969211,3,1327,194,2021-01-28T20:14:04.367
969212,3,1327,651,2021-01-28T20:14:04.393
969213,3,1327,1880,2021-01-28T20:14:04.43
969214,3,1327,1023,2021-01-28T20:14:04.453
969215,3,1327,1829,2021-01-28T20:14:04.493
969216,3,1327,97,2021-01-28T20:14:04.523
969217,3,1327,3086,2021-01-28T20:14:04.563
969218,3,1327,4969,2021-01-28T20:14:04.603
969219,3,1327,1744,2021-01-28T20:14:04.633
969220,3,1327,148,2021-01-28T20:14:04.66
969221,3,1327,147,2021-01-28T20:14:04.693
969222,3,1327,1299,2021-01-28T20:14:04.72
969223,3,1327,379,2021-01-28T20:14:04.763
969224,3,1327,296,2021-01-28T20:14:04.79
969225,3,1327,270,2021-01-28T20:14:04.833
969226,3,1327,350,2021-01-28T20:14:04.863
969227,3,1327,153,2021-01-28T20:14:04.907
969228,3,1327,131,2021-01-28T20:14:04.94
969229,3,1327,149,2021-01-28T20:14:04.977
969230,3,1327,364,2021-01-28T20:14:05.063
969231,3,1327,83,2021-01-28T20:14:05.127
969232,3,1327,279,2021-01-28T20:14:05.16
969233,3,1327,132,2021-01-28T20:14:05.18
969234,3,1327,72,2021-01-28T20:14:05.22
1021662,2,1328,77,2018-01-25T16:57:32.393
1021663,2,1328,1371,2018-01-25T16:57:32.393
1021664,1,1328,184,2018-01-25T16:57:32.393
1021665,1,1328,121,2018-01-25T16:57:32.393
1021666,2,1328,216,2018-01-25T16:57:32.393
1021667,1,1328,43,2018-01-25T16:57:32.393
1021668,1,1328,120,2018-01-25T16:57:32.393
1021669,1,1328,1385,2018-01-25T16:57:32.393
1021670,1,1328,95,2018-01-25T16:57:32.393
1021671,1,1328,197,2018-01-25T16:57:32.393
1021672,1,1328,265,2018-01-25T16:57:32.393
1021673,2,1328,1146,2018-01-25T16:57:32.393
1021674,2,1328,70,2018-01-25T16:57:32.393
1021675,1,1328,2103,2018-01-25T16:57:32.393
1021676,1,1328,273,2018-01-25T16:57:32.393
1021677,1,1328,47,2018-01-25T16:57:32.393
1021678,1,1328,678,2018-01-25T16:57:32.393
1021679,1,1328,272,2018-01-25T16:57:32.393
1021680,1,1328,199,2018-01-25T16:57:32.393
1021681,1,1328,1454,2018-01-25T16:57:32.393
1021682,1,1328,173,2018-01-25T16:57:32.393
1021683,1,1328,178,2018-01-25T16:57:32.393
1021684,1,1328,154,2018-01-25T16:57:32.393
1021685,1,1328,180,2018-01-25T16:57:32.393
1021686,1,1328,365,2018-01-25T16:57:32.393
1021687,1,1328,210,2018-01-25T16:57:32.393
1021688,1,1328,668,2018-01-25T16:57:32.393
1021689,1,1328,362,2018-01-25T16:57:32.393
1021690,1,1328,1844,2018-01-25T16:57:32.393
1021691,3,1328,1882,2021-01-28T20:20:45.993
1021692,2,1328,1777,2018-01-25T16:57:32.393
1021693,1,1328,235,2018-01-25T16:57:32.393
1021694,1,1328,38,2018-01-25T16:57:32.393
1021695,1,1328,205,2018-01-25T16:57:32.393
1021696,1,1328,3088,2018-01-25T16:57:32.393
1021697,2,1328,171,2018-01-25T16:57:32.393
1021698,2,1328,124,2018-01-25T16:57:32.393
1021699,1,1328,155,2018-01-25T16:57:32.393
1021700,1,1328,3084,2018-01-25T16:57:32.393
1021701,2,1328,98,2018-01-25T16:57:32.393
1021702,1,1328,1325,2018-01-25T16:57:32.393
1021703,2,1328,303,2018-01-25T16:57:32.393
1021704,1,1328,85,2018-01-25T16:57:32.393
1021705,1,1328,198,2018-01-25T16:57:32.393
1021706,2,1328,183,2018-01-25T16:57:32.393
1021707,2,1328,3082,2018-01-25T16:57:32.393
1021708,2,1328,1755,2018-01-25T16:57:32.393
1021709,1,1328,1502,2018-01-25T16:57:32.393
1021710,2,1328,50,2018-01-25T16:57:32.393
1021711,1,1328,152,2018-01-25T16:57:32.393
