voting_id,party,politician,vote_type
9002,Socialdemokratiet,Nicolai Wammen,3
9002,Dansk Folkeparti,Alex Ahrendtsen,1
9002,Danmarksdemokraterne,Søren Espersen,1
9002,Socialdemokratiet,Astrid Krag,3
9002,Socialistisk Folkeparti,Pia Olsen Dyhr,3
9002,Danmarksdemokraterne,Peter Skaarup,3
9002,Venstre,Erling Bonnesen,3
9002,Moderaterne,Jakob Engel-Schmidt,3
9002,Socialdemokratiet,Mette Reissmann,3
9002,Venstre,Torsten Schack Pedersen,1
9002,Danmarksdemokraterne,Hans Kristian Skibby,3
9002,Venstre,Louise Elholm,1
9002,Socialdemokratiet,Jesper Petersen,1
9002,Liberal Alliance,Ole Birk Olesen,1
9002,Radikale Venstre,Sofie Carsten Nielsen,3
9002,Venstre,Jan E. Jørgensen,1
9002,Enhedslisten,Trine Pertou Mach,3
9002,Enhedslisten,Rosa Lund,1
9002,Radikale Venstre,Lotte Rod,1
9002,Danmarksdemokraterne,Jens Henrik Thulesen Dahl,1
9002,Socialdemokratiet,Trine Bramsen,1
9002,Danmarksdemokraterne,Dennis Flydtkjær,3
9002,Socialdemokratiet,Benny Engelbrecht,1
9002,Socialistisk Folkeparti,Karina Lorentzen Dehnhardt,1
9002,Venstre,Hans Christian Schmidt,3
9002,Venstre,Preben Bang Henriksen,1
9002,Venstre,Sophie Løhde,1
9002,Venstre,Christian Friis Bach,1
9002,Socialdemokratiet,Mette Frederiksen,3
9002,Venstre,Thomas Danielsen,3
9002,Radikale Venstre,Martin Lidegaard,3
9002,Moderaterne,Lars Løkke Rasmussen,3
9002,Socialdemokratiet,Ida Auken,3
9002,Socialdemokratiet,Mogens Jensen,3
9002,Danmarksdemokraterne,Karina Adsbøl,3
9002,Venstre,Hans Andersen,1
9002,Socialdemokratiet,Dan Jørgensen,3
9002,Venstre,Anni Matthiesen,1
9002,Socialdemokratiet,Pernille Rosenkrantz-Theil,1
9002,Venstre,Jacob Jensen,1
9002,Enhedslisten,Søren Søndergaard,3
9002,Venstre,Michael Aastrup Jensen,1
9002,Venstre,Peter Juel-Jensen,1
9002,Socialdemokratiet,Annette Lind,1
9002,Danmarksdemokraterne,Inger Støjberg,1
9002,Det Konservative Folkeparti,Mai Mercado,3
9002,Radikale Venstre,Zenia Stampe,3
9002,Socialdemokratiet,Mette Gjerskov,1
9002,Socialistisk Folkeparti,Karsten Hønge,1
9002,Socialdemokratiet,Thomas Jensen,3
9002,Venstre,Troels Lund Poulsen,3
9002,Venstre,Jakob Ellemann-Jensen,1
9002,Socialdemokratiet,Simon Kollerup,1
9002,Socialdemokratiet,Jens Joel,3
9002,Socialdemokratiet,Jeppe Bruus,1
9002,Venstre,Lars Christian Lilleholt,1
9002,Socialistisk Folkeparti,Lisbeth Bech-Nielsen,1
9002,Socialdemokratiet,Morten Bødskov,1
9002,Socialdemokratiet,Flemming Møller Mortensen,3
9002,Dansk Folkeparti,Morten Messerschmidt,3
9002,Socialdemokratiet,Magnus Heunicke,1
9002,Dansk Folkeparti,Pia Kjærsgaard,3
9002,Socialdemokratiet,Bjarne Laustsen,1
9002,Socialdemokratiet,Leif Lahn Jensen,3
9002,Javnaðarflokkurin,Sjúrður Skaale,1
9002,Socialdemokratiet,Rasmus Prehn,1
9002,Socialdemokratiet,Rasmus Horn Langhoff,1
9002,Socialdemokratiet,Per Husted,1
9002,Socialdemokratiet,Ane Halsboe-Jørgensen,3
9002,Enhedslisten,Søren Egge Rasmussen,3
9002,Danmarksdemokraterne,Marlene Harpsøe,1
9002,Det Konservative Folkeparti,Rasmus Jarlov,1
9002,Venstre,Søren Gade,3
9002,Enhedslisten,Jette Gottlieb,1
9002,Det Konservative Folkeparti,Per Larsen,1
9002,Inuit Ataqatigiit,Aaja Chemnitz,1
9002,Socialdemokratiet,Lea Wermelin,1
9002,Socialdemokratiet,Christian Rabjerg Madsen,3
9002,Dansk Folkeparti,Peter Kofod,1
9002,Socialdemokratiet,Mattias Tesfaye,1
9002,Danmarksdemokraterne,Lise Bech,3
9002,Alternativet,Torsten Gejl,3
9002,Socialdemokratiet,Peter Hummelgaard,1
9002,Enhedslisten,Pelle Dragsted,3
9002,Liberal Alliance,Carsten Bach,3
9002,Det Konservative Folkeparti,Søren Pape Poulsen,3
9002,Socialdemokratiet,Kaare Dybvad Bek,1
9002,Socialistisk Folkeparti,Jacob Mark,3
9002,Det Konservative Folkeparti,Mette Abildgaard,1
9002,Liberal Alliance,Henrik Dahl,3
9002,Socialdemokratiet,Kasper Roug,1
9002,Socialdemokratiet,Malte Larsen,1
9002,Socialdemokratiet,Anne Paulin,3
9002,Enhedslisten,Peder Hvelplund,1
9002,Socialistisk Folkeparti,Kirsten Normann Andersen,3
9002,Det Konservative Folkeparti,Brigitte Klintskov Jerkel,1
9002,Socialistisk Folkeparti,Carl Valentin,1
9002,Danmarksdemokraterne,Mads Fuglede,1
9002,Naleraq,Aki-Matilda Høegh-Dam,3
9002,Enhedslisten,Mai Villadsen,1
9003,Socialdemokratiet,Nicolai Wammen,3
9003,Dansk Folkeparti,Alex Ahrendtsen,3
9003,Danmarksdemokraterne,Søren Espersen,3
9003,Socialdemokratiet,Astrid Krag,1
9003,Socialistisk Folkeparti,Pia Olsen Dyhr,3
9003,Danmarksdemokraterne,Peter Skaarup,3
9003,Venstre,Erling Bonnesen,1
9003,Moderaterne,Jakob Engel-Schmidt,3
9003,Socialdemokratiet,Mette Reissmann,3
9003,Venstre,Torsten Schack Pedersen,1
9003,Danmarksdemokraterne,Hans Kristian Skibby,1
9003,Venstre,Louise Elholm,3
9003,Socialdemokratiet,Jesper Petersen,3
9003,Liberal Alliance,Ole Birk Olesen,1
9003,Radikale Venstre,Sofie Carsten Nielsen,3
9003,Venstre,Jan E. Jørgensen,3
9003,Enhedslisten,Trine Pertou Mach,3
9003,Radikale Venstre,Lotte Rod,3
9003,Danmarksdemokraterne,Jens Henrik Thulesen Dahl,3
9003,Socialdemokratiet,Trine Bramsen,1
9003,Danmarksdemokraterne,Dennis Flydtkjær,1
9003,Socialdemokratiet,Benny Engelbrecht,1
9003,Socialistisk Folkeparti,Karina Lorentzen Dehnhardt,3
9003,Venstre,Hans Christian Schmidt,3
9003,Venstre,Preben Bang Henriksen,3
9003,Venstre,Sophie Løhde,3
9003,Venstre,Christian Friis Bach,3
9003,Socialdemokratiet,Mette Frederiksen,3
9003,Venstre,Thomas Danielsen,1
9003,Radikale Venstre,Martin Lidegaard,3
9003,Moderaterne,Lars Løkke Rasmussen,3
9003,Socialdemokratiet,Ida Auken,3
9003,Socialdemokratiet,Mogens Jensen,3
9003,Danmarksdemokraterne,Karina Adsbøl,1
9003,Venstre,Hans Andersen,1
9003,Socialdemokratiet,Dan Jørgensen,3
9003,Venstre,Anni Matthiesen,1
9003,Socialdemokratiet,Pernille Rosenkrantz-Theil,1
9003,Venstre,Jacob Jensen,1
9003,Enhedslisten,Søren Søndergaard,3
9003,Venstre,Michael Aastrup Jensen,3
9003,Venstre,Peter Juel-Jensen,1
9003,Socialdemokratiet,Annette Lind,1
9003,Danmarksdemokraterne,Inger Støjberg,3
9003,Det Konservative Folkeparti,Mai Mercado,1
9003,Radikale Venstre,Zenia Stampe,3
9003,Socialdemokratiet,Mette Gjerskov,1
9003,Socialistisk Folkeparti,Karsten Hønge,3
9003,Socialdemokratiet,Thomas Jensen,1
9003,Venstre,Troels Lund Poulsen,3
9003,Venstre,Jakob Ellemann-Jensen,3
9003,Socialdemokratiet,Simon Kollerup,3
9003,Socialdemokratiet,Jens Joel,1
9003,Socialdemokratiet,Jeppe Bruus,1
9003,Venstre,Lars Christian Lilleholt,3
9003,Socialistisk Folkeparti,Lisbeth Bech-Nielsen,1
9003,Socialdemokratiet,Morten Bødskov,3
9003,Socialdemokratiet,Flemming Møller Mortensen,1
9003,Dansk Folkeparti,Morten Messerschmidt,1
9003,Socialdemokratiet,Magnus Heunicke,1
9003,Dansk Folkeparti,Pia Kjærsgaard,1
9003,Socialdemokratiet,Bjarne Laustsen,1
9003,Socialdemokratiet,Leif Lahn Jensen,3
9003,Javnaðarflokkurin,Sjúrður Skaale,3
9003,Socialdemokratiet,Rasmus Prehn,3
9003,Socialdemokratiet,Rasmus Horn Langhoff,1
9003,Socialdemokratiet,Per Husted,1
9003,Socialdemokratiet,Ane Halsboe-Jørgensen,1
9003,Enhedslisten,Søren Egge Rasmussen,3
9003,Danmarksdemokraterne,Marlene Harpsøe,1
9003,Det Konservative Folkeparti,Rasmus Jarlov,3
9003,Venstre,Søren Gade,1
9003,Enhedslisten,Jette Gottlieb,1
9003,Det Konservative Folkeparti,Per Larsen,1
9003,Inuit Ataqatigiit,Aaja Chemnitz,3
9003,Socialdemokratiet,Lea Wermelin,1
9003,Socialdemokratiet,Christian Rabjerg Madsen,1
9003,Dansk Folkeparti,Peter Kofod,1
9003,Socialdemokratiet,Mattias Tesfaye,1
9003,Danmarksdemokraterne,Lise Bech,1
9003,Alternativet,Torsten Gejl,1
9003,Socialdemokratiet,Peter Hummelgaard,1
9003,Enhedslisten,Pelle Dragsted,1
9003,Liberal Alliance,Carsten Bach,1
9003,Det Konservative Folkeparti,Søren Pape Poulsen,3
9003,Socialdemokratiet,Kaare Dybvad Bek,1
9003,Socialistisk Folkeparti,Jacob Mark,3
9003,Det Konservative Folkeparti,Mette Abildgaard,3
9003,Liberal Alliance,Henrik Dahl,3
9003,Socialdemokratiet,Kasper Roug,1
9003,Socialdemokratiet,Malte Larsen,1
9003,Socialdemokratiet,Anne Paulin,1
9003,Enhedslisten,Peder Hvelplund,3
9003,Socialistisk Folkeparti,Kirsten Normann Andersen,1
9003,Det Konservative Folkeparti,Brigitte Klintskov Jerkel,1
9003,Socialistisk Folkeparti,Carl Valentin,1
9003,Danmarksdemokraterne,Mads Fuglede,3
