source,target,topic,65,66,67,68,69,70,71
Alternativet,Dansk Folkeparti,klima,,,,,0.26717557251908397,0.40268456375838924,0.4051724137931034
Alternativet,Det Konservative Folkeparti,klima,,,,,0.26666666666666666,0.6666666666666666,0.509009009009009
Alternativet,Enhedslisten,klima,,,,,0.8333333333333334,0.905,0.814935064935065
Alternativet,Javnaðarflokkurin,klima,,,,,,,0.5
Alternativet,Liberal Alliance,klima,,,,,0.28440366972477066,0.42857142857142855,0.6483516483516484
Alternativet,Moderaterne,klima,,,,,0.0,0.0,0.5625
Alternativet,Radikale Venstre,klima,,,,,0.7121212121212122,0.7623762376237624,0.7923076923076923
Alternativet,Sambandsflokkurin,klima,,,,,,1.0,
Alternativet,Socialistisk Folkeparti,klima,,,,,0.7236842105263158,0.8137254901960784,0.8333333333333334
Alternativet,Uden for folketingsgrupperne,klima,,,,,0.18666666666666668,0.46938775510204084,
Alternativet,Venstre,klima,,,,,0.24557522123893805,0.48040313549832026,0.6073619631901841
Danmarksdemokraterne,Alternativet,klima,,,,,0.3008130081300813,0.4857142857142857,0.4449760765550239
Danmarksdemokraterne,Dansk Folkeparti,klima,1.0,0.9758883248730964,0.9906766917293233,0.9975961538461539,0.9731080437886721,0.9330493000608643,0.7401528512639624
Danmarksdemokraterne,Det Konservative Folkeparti,klima,1.0,0.9220452640402347,0.9206927985414768,0.6660995321139941,0.7455830388692579,0.7846481876332623,0.8008460787504068
Danmarksdemokraterne,Enhedslisten,klima,0.5,0.20069204152249134,0.31508264462809915,0.44525235243798117,0.39235465887974513,0.45395799676898224,0.481201171875
Danmarksdemokraterne,Javnaðarflokkurin,klima,,,,,,,0.0
Danmarksdemokraterne,Liberal Alliance,klima,1.0,0.9098837209302325,0.8196286472148541,0.6067415730337079,0.8018072289156627,0.6415094339622641,0.6656076250992852
Danmarksdemokraterne,Moderaterne,klima,,0.9734513274336283,0.9,0.6527777777777778,0.7305825242718447,0.5789473684210527,0.5507246376811594
Danmarksdemokraterne,Radikale Venstre,klima,0.25,0.4960567823343849,0.5471464019851117,0.5112454655380895,0.521370207416719,0.5425574828559904,0.5321100917431193
Danmarksdemokraterne,Sambandsflokkurin,klima,,,0.8928571428571429,,,1.0,
Danmarksdemokraterne,Siumut,klima,,1.0,,,,,
Danmarksdemokraterne,Socialistisk Folkeparti,klima,0.17647058823529413,0.32707942464040024,0.4634961439588689,0.5283271873952397,0.5176290240163516,0.4995700773860705,0.5598684210526316
Danmarksdemokraterne,Uden for folketingsgrupperne,klima,0.8125,0.7318777292576419,0.9103896103896104,0.934412955465587,0.9367245657568238,0.8849360755975542,
Danmarksdemokraterne,Venstre,klima,1.0,0.9146705047805078,0.921551798128916,0.6891520153091736,0.816171875,0.7577237299276928,0.5836538461538462
Dansk Folkeparti,Javnaðarflokkurin,klima,,,,,,,0.0
Dansk Folkeparti,Socialistisk Folkeparti,klima,0.17647058823529413,0.33467904723455794,0.4617650997723316,0.5454258675078865,0.4608812949640288,0.4759259259259259,0.5541125541125541
Dansk Folkeparti,Uden for folketingsgrupperne,klima,0.8125,0.7102493074792243,0.9090282563749138,0.9334898278560251,0.953401178361007,0.9110840438489647,
Dansk Folkeparti,Venstre,klima,1.0,0.8768991829292998,0.9056442160310162,0.7063465223762823,0.7969894222945484,0.7105478331970564,0.5233097388332927
Det Konservative Folkeparti,Dansk Folkeparti,klima,1.0,0.8859988931931378,0.9004492787893119,0.6696610861576153,0.7466666666666667,0.6683168316831684,0.6798679867986799
Det Konservative Folkeparti,Javnaðarflokkurin,klima,,,,,,,0.0
Det Konservative Folkeparti,Moderaterne,klima,,0.9947089947089947,1.0,0.9,0.975609756097561,0.0,0.6337209302325582
Det Konservative Folkeparti,Socialistisk Folkeparti,klima,0.21739130434782608,0.356,0.5625253755582623,0.7450376454483231,0.3532608695652174,0.5833333333333334,0.6474597273853779
Det Konservative Folkeparti,Uden for folketingsgrupperne,klima,0.828125,0.7685995623632386,0.8689727463312369,0.6933223413025557,0.7807017543859649,0.7244444444444444,
Det Konservative Folkeparti,Venstre,klima,1.0,0.9959453980267604,0.9996582365003418,0.9057971014492754,0.9731833910034602,0.8866666666666667,0.6368091478355568
Enhedslisten,Dansk Folkeparti,klima,0.5,0.19892884468247896,0.32326444091149975,0.4550801054552829,0.36823694029850745,0.4060657118786858,0.47320692497938993
Enhedslisten,Det Konservative Folkeparti,klima,0.5,0.22172284644194756,0.3572023313905079,0.5087145969498911,0.22653721682847897,0.511400651465798,0.5065999089667729
