source,target,weight,total_votes_agreed,total_votes_shared,source_party,target_party,period,topic
Frank Aaen,Alex Ahrendtsen,0.48,24,50,Enhedslisten,Dansk Folkeparti,68,klima
Frank Aaen,Bjarne Corydon,0.7777777777777778,7,9,Enhedslisten,Socialdemokratiet,68,klima
Frank Aaen,Karsten Lauritzen,0.5416666666666666,39,72,Enhedslisten,Venstre,68,klima
Frank Aaen,Henrik Sass Larsen,0.6944444444444444,25,36,Enhedslisten,Socialdemokratiet,68,klima
Frank Aaen,Søren Espersen,0.6956521739130435,16,23,Enhedslisten,Danmarksdemokraterne,68,klima
Frank Aaen,Astrid Krag,0.7090909090909091,39,55,Enhedslisten,Socialdemokratiet,68,klima
Frank Aaen,Christian Juhl,1.0,62,62,Enhedslisten,Enhedslisten,68,klima
Frank Aaen,Erling Bonnesen,0.5949367088607594,47,79,Enhedslisten,Venstre,68,klima
Frank Aaen,Liselott Blixt,0.38961038961038963,30,77,Enhedslisten,Uden for folketingsgrupperne,68,klima
Frank Aaen,Annette Vilhelmsen,0.803030303030303,53,66,Enhedslisten,Socialistisk Folkeparti,68,klima
Frank Aaen,Flemming Damgaard Larsen,0.5681818181818182,50,88,Enhedslisten,Venstre,68,klima
Frank Aaen,Nikolaj Villumsen,1.0,46,46,Enhedslisten,Enhedslisten,68,klima
Frank Aaen,Tom Behnke,0.5365853658536586,44,82,Enhedslisten,Det Konservative Folkeparti,68,klima
Frank Aaen,Karen Ellemann,0.6111111111111112,44,72,Enhedslisten,Venstre,68,klima
Frank Aaen,Jeppe Mikkelsen,0.8026315789473685,61,76,Enhedslisten,Radikale Venstre,68,klima
Frank Aaen,Christian Langballe (udpeget af DF),0.40625,26,64,Enhedslisten,Dansk Folkeparti,68,klima
Frank Aaen,Torsten Schack Pedersen,0.5263157894736842,30,57,Enhedslisten,Venstre,68,klima
Frank Aaen,Mads Rørvig,0.5573770491803278,34,61,Enhedslisten,Venstre,68,klima
Frank Aaen,Brian Mikkelsen,0.5614035087719298,32,57,Enhedslisten,Det Konservative Folkeparti,68,klima
Frank Aaen,Troels Ravn,0.7966101694915254,47,59,Enhedslisten,Socialdemokratiet,68,klima
Frank Aaen,Özlem Sara Cekic,0.7763157894736842,59,76,Enhedslisten,Socialistisk Folkeparti,68,klima
Frank Aaen,Marlene Borst Hansen,0.7945205479452054,58,73,Enhedslisten,Radikale Venstre,68,klima
Frank Aaen,Finn Sørensen,1.0,63,63,Enhedslisten,Enhedslisten,68,klima
Frank Aaen,Louise Elholm,0.582089552238806,39,67,Enhedslisten,Venstre,68,klima
Frank Aaen,Peter Christensen,0.6,18,30,Enhedslisten,Venstre,68,klima
Frank Aaen,Mike Legarth,0.5873015873015873,37,63,Enhedslisten,Det Konservative Folkeparti,68,klima
Frank Aaen,Jesper Petersen,0.7285714285714285,51,70,Enhedslisten,Socialdemokratiet,68,klima
Frank Aaen,René Christensen,0.475,19,40,Enhedslisten,Dansk Folkeparti,68,klima
Frank Aaen,Ole Birk Olesen,0.46153846153846156,30,65,Enhedslisten,Liberal Alliance,68,klima
Frank Aaen,Morten Marinus,0.49230769230769234,32,65,Enhedslisten,Dansk Folkeparti,68,klima
Frank Aaen,Jan E. Jørgensen,0.5584415584415584,43,77,Enhedslisten,Venstre,68,klima
Frank Aaen,Charlotte Dyremose,0.30434782608695654,7,23,Enhedslisten,Det Konservative Folkeparti,68,klima
Frank Aaen,Trine Pertou Mach,0.6923076923076923,27,39,Enhedslisten,Enhedslisten,68,klima
Frank Aaen,Joachim B. Olsen,0.46153846153846156,24,52,Enhedslisten,Liberal Alliance,68,klima
Frank Aaen,Lotte Rod,0.7647058823529411,52,68,Enhedslisten,Radikale Venstre,68,klima
Frank Aaen,Jens Henrik Thulesen Dahl,0.3902439024390244,32,82,Enhedslisten,Danmarksdemokraterne,68,klima
Frank Aaen,Trine Bramsen,0.7419354838709677,69,93,Enhedslisten,Socialdemokratiet,68,klima
Frank Aaen,Dennis Flydtkjær,0.4090909090909091,36,88,Enhedslisten,Danmarksdemokraterne,68,klima
Frank Aaen,Benny Engelbrecht,0.7333333333333333,66,90,Enhedslisten,Socialdemokratiet,68,klima
Frank Aaen,Karina Lorentzen Dehnhardt,0.6727272727272727,37,55,Enhedslisten,Socialistisk Folkeparti,68,klima
Frank Aaen,Stine Brix,1.0,76,76,Enhedslisten,Enhedslisten,68,klima
Frank Aaen,Hans Christian Schmidt,0.48,24,50,Enhedslisten,Venstre,68,klima
Frank Aaen,Kim Andersen (udpeget af V),0.6,45,75,Enhedslisten,Venstre,68,klima
Frank Aaen,Preben Bang Henriksen,0.5230769230769231,34,65,Enhedslisten,Venstre,68,klima
Frank Aaen,Bertel Haarder,0.5813953488372093,25,43,Enhedslisten,Venstre,68,klima
Frank Aaen,Sophie Løhde,0.4791666666666667,23,48,Enhedslisten,Venstre,68,klima
Frank Aaen,John Dyrby Paulsen,0.6590909090909091,29,44,Enhedslisten,Socialdemokratiet,68,klima
Frank Aaen,Mette Bock,0.4857142857142857,34,70,Enhedslisten,Liberal Alliance,68,klima
Frank Aaen,Thomas Danielsen,0.46,23,50,Enhedslisten,Venstre,68,klima
Frank Aaen,Lars Løkke Rasmussen,0.6,3,5,Enhedslisten,Moderaterne,68,klima
Frank Aaen,Johanne Schmidt-Nielsen,1.0,53,53,Enhedslisten,Enhedslisten,68,klima
Frank Aaen,Anders Samuelsen,0.525,21,40,Enhedslisten,Liberal Alliance,68,klima
Frank Aaen,Lone Loklindt,0.7640449438202247,68,89,Enhedslisten,Radikale Venstre,68,klima
Frank Aaen,Eigil Andersen,0.7529411764705882,64,85,Enhedslisten,Socialistisk Folkeparti,68,klima
Frank Aaen,Jan Johansen,0.7246376811594203,50,69,Enhedslisten,Socialdemokratiet,68,klima
Frank Aaen,Liv Holm Andersen,0.7613636363636364,67,88,Enhedslisten,Radikale Venstre,68,klima
Frank Aaen,Karina Adsbøl,0.46153846153846156,36,78,Enhedslisten,Danmarksdemokraterne,68,klima
Frank Aaen,Nicolai Wammen,0.8095238095238095,17,21,Enhedslisten,Socialdemokratiet,68,klima
Frank Aaen,Christine Antorini,0.6976744186046512,30,43,Enhedslisten,Socialdemokratiet,68,klima
Frank Aaen,Holger K. Nielsen,0.7049180327868853,43,61,Enhedslisten,Socialistisk Folkeparti,68,klima
Frank Aaen,Henning Hyllested,1.0,69,69,Enhedslisten,Enhedslisten,68,klima
