vote_id,vote_typeid,afstemning_id,aktørid,afstemning_nummer,afstemning_vedtaget,Period,primary_topic,all_topics,møde_dato,møde_year_month,politician,party
1484427,3,5986,235,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Jeppe Kofod,Socialdemokratiet
1484403,2,5986,1461,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Rikke Hvilshøj,Venstre
1484402,3,5986,1833,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Høgni Hoydal,Tjóðveldi
1484400,3,5986,364,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Birthe Rønn Hornbech,Venstre
1484398,3,5986,1883,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Anne Grete Holmsgaard (udpeget af SF),Socialistisk Folkeparti
1484396,1,5986,1444,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Poul Henrik Hedeboe,Socialistisk Folkeparti
1484404,3,5986,678,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Klaus Hækkerup (udpeget af S),Socialdemokratiet
1484395,3,5986,1891,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Thomas Adelskov,Socialdemokratiet
1484392,3,5986,164,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Hans Andersen,Venstre
1484390,2,5986,126,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Kim Andersen (udpeget af V),Venstre
1484389,3,5986,258,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Poul Andersen,Socialdemokratiet
1484388,1,5986,351,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Sophie Hæstorp Andersen,Socialdemokratiet
1484406,1,5986,55,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Marianne Jelved,Radikale Venstre
1484426,3,5986,1777,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Anita Knakkergaard,Dansk Folkeparti
1484423,2,5986,252,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Pia Kjærsgaard,Dansk Folkeparti
