afstemning_id,party,Period,afstemning_vedtaget,møde_year_month,total_potential_votes,total_cast_votes,votes_type_1,votes_type_2,votes_type_3,votes_type_4,agree_percentage_of_cast_votes,disagree_percentage_of_cast_votes,abstain_percentage_of_cast_votes,absent_percentage_of_potential_votes
1,Danmarksdemokraterne,68,True,2014-09,3,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.3333333333333333
1,Dansk Folkeparti,68,True,2014-09,20,12.0,12.0,0.0,8.0,0.0,1.0,0.0,0.0,0.4
1,Det Konservative Folkeparti,68,True,2014-09,8,5.0,5.0,0.0,3.0,0.0,1.0,0.0,0.0,0.375
1,Enhedslisten,68,True,2014-09,13,8.0,8.0,0.0,5.0,0.0,1.0,0.0,0.0,0.38461538461538464
1,Inuit Ataqatigiit,68,True,2014-09,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,Javnaðarflokkurin,68,True,2014-09,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,Liberal Alliance,68,True,2014-09,9,4.0,4.0,0.0,5.0,0.0,1.0,0.0,0.0,0.5555555555555556
1,Radikale Venstre,68,True,2014-09,17,11.0,11.0,0.0,6.0,0.0,1.0,0.0,0.0,0.35294117647058826
1,Sambandsflokkurin,68,True,2014-09,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,Siumut,68,True,2014-09,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,Socialdemokratiet,68,True,2014-09,45,29.0,29.0,0.0,16.0,0.0,1.0,0.0,0.0,0.35555555555555557
1,Socialistisk Folkeparti,68,True,2014-09,14,9.0,9.0,0.0,5.0,0.0,1.0,0.0,0.0,0.35714285714285715
1,Venstre,68,True,2014-09,46,28.0,28.0,0.0,18.0,0.0,1.0,0.0,0.0,0.391304347826087
2,Danmarksdemokraterne,68,True,2014-09,3,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.3333333333333333
2,Dansk Folkeparti,68,True,2014-09,20,12.0,12.0,0.0,8.0,0.0,1.0,0.0,0.0,0.4
2,Det Konservative Folkeparti,68,True,2014-09,8,5.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,0.375
2,Enhedslisten,68,True,2014-09,13,8.0,8.0,0.0,5.0,0.0,1.0,0.0,0.0,0.38461538461538464
2,Inuit Ataqatigiit,68,True,2014-09,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2,Javnaðarflokkurin,68,True,2014-09,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
