Node,In Degree,Out Degree,Content Length,Degree Centrality,Betweenness Centrality,Eigenvector Centrality,Avg Successor In-Degree,Avg Successor Content Length,Louvain Community
10 Years (band),7,10,4501,0.03696,0.00089,0.01243,21.0,16465.7,3.0
Disturbed (band),20,33,11700,0.11522,0.00462,0.03755,24.939393939393938,16873.0,3.0
Breaking Benjamin,21,33,16494,0.11739,0.00648,0.02216,18.151515151515152,14934.69696969697,3.0
Mudvayne,7,15,7843,0.04783,0.00038,0.01956,36.333333333333336,23317.4,1.0
Korn,38,34,30035,0.15652,0.00876,0.08627,31.352941176470587,19154.735294117647,3.0
Deftones,34,20,20883,0.11739,0.00388,0.04777,31.8,24135.75,3.0
Stone Temple Pilots,24,18,10354,0.0913,0.00298,0.03475,46.77777777777778,24528.11111111111,3.0
Thousand Foot Krutch,4,9,7088,0.02826,0.00018,0.00197,11.555555555555555,14579.555555555555,3.0
Linkin Park,31,35,38842,0.14348,0.0096,0.04505,34.628571428571426,23298.428571428572,3.0
Shinedown,20,18,12756,0.08261,0.00207,0.01309,33.55555555555556,18832.277777777777,3.0
Puddle of Mudd,11,24,8662,0.07609,0.00224,0.00968,32.291666666666664,18091.291666666668,3.0
10cc,3,21,10990,0.05217,0.0016,0.00768,22.857142857142858,18303.190476190477,2.0
The Yardbirds,9,14,9014,0.05,0.00121,0.02212,31.214285714285715,15242.357142857143,2.0
Simon & Garfunkel,10,7,13052,0.03696,0.0004,0.01522,41.42857142857143,23350.428571428572,2.0
The Hollies,3,7,6512,0.02174,0.00048,0.00105,46.857142857142854,26064.0,2.0
Herman's Hermits,9,2,6536,0.02391,0.00033,0.01878,38.0,33616.0,2.0
Frank Zappa,32,19,34410,0.11087,0.01053,0.05834,41.31578947368421,21152.684210526317,2.0
Queen (band),87,45,46005,0.28696,0.04117,0.18333,41.955555555555556,24883.666666666668,1.0
Roxy Music,24,22,9671,0.1,0.00643,0.03068,45.13636363636363,25076.045454545456,0.0
George Harrison,37,23,26889,0.13043,0.00538,0.0696,38.56521739130435,22707.652173913044,2.0
Asia (band),6,15,9621,0.04565,0.0011,0.00608,24.133333333333333,15807.133333333333,4.0
The Police,11,11,12907,0.04783,0.00142,0.01083,43.72727272727273,25936.727272727272,2.0
Duran Duran,16,27,20132,0.09348,0.00895,0.02315,36.96296296296296,22490.666666666668,0.0
Peter Gabriel,20,14,20397,0.07391,0.00586,0.0271,33.0,26588.14285714286,2.0
The Clash,8,15,15516,0.05,0.00246,0.00504,26.8,20677.8,0.0
Jethro Tull (band),16,19,12530,0.07609,0.00284,0.05195,50.73684210526316,25437.105263157893,2.0
Ramones,39,32,18881,0.15435,0.01631,0.07476,40.0,24160.90625,0.0
Paul McCartney,67,28,42493,0.20652,0.01529,0.14149,43.535714285714285,25446.928571428572,2.0
Ringo Starr,35,17,24256,0.11304,0.00499,0.05583,38.588235294117645,25220.058823529413,2.0
ABBA,12,9,24600,0.04565,0.00056,0.02746,54.22222222222222,27639.11111111111,2.0
Steely Dan,12,10,10284,0.04783,0.00232,0.00861,18.0,16972.0,4.0
Toto (band),14,17,11136,0.06739,0.00472,0.01463,28.11764705882353,20108.41176470588,4.0
Electric Light Orchestra,13,12,9525,0.05435,0.00085,0.02826,45.833333333333336,23681.333333333332,2.0
3 Doors Down,14,12,7636,0.05652,0.00181,0.00823,22.75,12624.083333333334,3.0
Rush (band),38,47,26774,0.18478,0.01554,0.08502,36.297872340425535,20161.76595744681,3.0
Lynyrd Skynyrd,18,12,9361,0.06522,0.00409,0.02508,28.25,16509.5,4.0
Nickelback,24,29,13251,0.11522,0.01136,0.02763,28.20689655172414,14480.551724137931,3.0
Bob Seger,20,16,8003,0.07826,0.00463,0.03086,34.1875,21575.6875,2.0
ZZ Top,24,8,10239,0.06957,0.00207,0.03798,37.0,22598.75,4.0
Daughtry (band),7,21,8212,0.06087,0.0019,0.00715,14.80952380952381,9578.142857142857,3.0
Alter Bridge,12,21,12441,0.07174,0.0051,0.02864,27.476190476190474,16246.666666666666,3.0
Staind,20,31,7461,0.11087,0.00314,0.04026,38.096774193548384,19503.354838709678,3.0
Hinder,8,27,6472,0.07609,0.0036,0.01524,33.51851851851852,18664.074074074073,3.0
Kiss (band),71,23,27857,0.20435,0.01205,0.16246,39.0,24400.91304347826,1.0
311 (band),9,18,8909,0.0587,0.00273,0.01585,32.666666666666664,19791.833333333332,3.0
Yes (band),33,25,21456,0.12609,0.01047,0.06874,28.36,17703.2,4.0
"Emerson, Lake & Palmer",13,6,10615,0.0413,0.00074,0.02872,32.5,16881.5,4.0
The Cure,13,17,16594,0.06522,0.00318,0.01932,40.05882352941177,27287.941176470587,3.0
Papa Roach,21,34,17077,0.11957,0.00942,0.03507,28.0,17137.558823529413,3.0
The Offspring,14,22,17493,0.07826,0.00428,0.01283,30.136363636363637,21184.409090909092,0.0
Incubus (band),23,22,11336,0.09783,0.00369,0.03953,30.59090909090909,18802.909090909092,3.0
Pink Floyd,63,10,30616,0.1587,0.00563,0.12032,56.9,34289.1,3.0
The Rolling Stones,45,28,43917,0.1587,0.01626,0.0623,38.67857142857143,22579.64285714286,2.0
John Lennon,68,14,30497,0.17826,0.00581,0.14173,47.714285714285715,27472.64285714286,2.0
Billy Joel,23,19,28698,0.0913,0.00396,0.03796,35.21052631578947,23858.157894736843,2.0
Sublime with Rome,3,6,5789,0.01957,0.00011,0.00127,18.0,14913.666666666666,0.0
Red Hot Chili Peppers,50,34,24239,0.18261,0.02024,0.09968,40.61764705882353,22627.352941176472,3.0
Led Zeppelin,115,29,21747,0.31304,0.03397,0.22458,32.55172413793103,20492.03448275862,3.0
Jane's Addiction,27,27,14166,0.11739,0.0074,0.05838,34.666666666666664,19280.444444444445,3.0
Faith No More,29,23,15993,0.11304,0.00594,0.06412,36.17391304347826,20545.08695652174,3.0
38 Special (band),8,13,4537,0.04565,0.00151,0.00651,21.307692307692307,15323.692307692309,4.0
Journey (band),33,23,13716,0.12174,0.01529,0.04118,26.73913043478261,16326.782608695652,4.0
Peter Frampton,19,18,9570,0.08043,0.00311,0.02991,29.88888888888889,16696.222222222223,2.0
Survivor (band),4,5,7103,0.01957,0.00043,0.00645,31.8,20543.6,4.0
Bryan Adams,17,51,39124,0.14783,0.01123,0.01364,36.431372549019606,22090.49019607843,2.0
Huey Lewis and the News,3,3,5707,0.01304,8e-05,0.00124,27.0,25071.666666666668,4.0
Bon Jovi,25,12,14778,0.08043,0.00299,0.05004,39.5,16769.333333333332,1.0
Jefferson Starship,5,6,10321,0.02391,0.0009,0.00698,14.166666666666666,10554.0,2.0
Ted Nugent,23,20,18236,0.09348,0.00749,0.06266,30.25,17366.45,4.0
REO Speedwagon,17,12,5881,0.06304,0.00302,0.01409,17.083333333333332,13333.583333333334,4.0
Styx (band),19,8,8856,0.0587,0.0013,0.02073,31.125,16173.875,4.0
A Perfect Circle,10,18,14221,0.06087,0.00078,0.01242,39.166666666666664,27099.333333333332,3.0
Tool (band),25,27,20965,0.11304,0.00443,0.05894,37.77777777777778,21662.25925925926,3.0
Nine Inch Nails,43,35,37539,0.16957,0.01384,0.08968,34.74285714285714,24540.514285714286,3.0
Primus (band),17,25,14406,0.0913,0.00374,0.05023,36.04,23026.8,3.0
Guns N' Roses,61,51,60837,0.24348,0.03434,0.14622,35.450980392156865,21385.235294117647,1.0
Queens of the Stone Age,15,20,14162,0.07609,0.00525,0.02856,29.25,19346.8,3.0
Marilyn Manson (band),20,33,46040,0.11522,0.00439,0.0434,37.15151515151515,24850.515151515152,3.0
The Smashing Pumpkins,16,44,21745,0.13043,0.00565,0.01311,34.68181818181818,23203.272727272728,3.0
System of a Down,25,28,18618,0.11522,0.00429,0.05776,42.642857142857146,24480.071428571428,3.0
Rage Against the Machine,33,24,22099,0.12391,0.00622,0.07546,48.208333333333336,27075.416666666668,3.0
Weezer,23,28,26887,0.11087,0.01267,0.02084,28.75,19274.678571428572,0.0
Foo Fighters,49,18,19686,0.14565,0.01164,0.08812,42.55555555555556,24205.555555555555,3.0
Adam Ant,5,12,15358,0.03696,0.00056,0.00735,29.166666666666668,20606.833333333332,0.0
Ozzy Osbourne,56,26,33720,0.17826,0.00897,0.14477,38.69230769230769,23806.615384615383,1.0
The Beatles,61,21,36283,0.17826,0.01069,0.11394,35.333333333333336,22239.761904761905,2.0
Genesis (band),28,16,25093,0.09565,0.00817,0.05644,31.9375,22674.5625,2.0
Scorpions (band),23,14,10759,0.08043,0.00157,0.07152,41.714285714285715,23645.285714285714,1.0
U2,72,14,43053,0.18696,0.00918,0.10911,48.857142857142854,24680.35714285714,0.0
Robert Plant,29,13,14711,0.0913,0.00353,0.07371,41.53846153846154,25723.846153846152,2.0
Iron Maiden,55,22,27673,0.16739,0.00811,0.13606,43.5,22142.18181818182,1.0
Bee Gees,18,17,23428,0.07609,0.00358,0.03866,31.11764705882353,21577.647058823528,2.0
AC/DC,41,29,29715,0.15217,0.00801,0.08126,38.03448275862069,21491.068965517243,1.0
The Velvet Underground,10,11,15145,0.04565,0.00118,0.01564,40.09090909090909,21955.727272727272,0.0
Chuck Berry,44,15,12903,0.12826,0.00688,0.09195,44.53333333333333,26000.266666666666,2.0
Lou Reed,32,12,16411,0.09565,0.00884,0.05857,39.083333333333336,25519.666666666668,0.0
Deep Purple,51,71,22628,0.26522,0.04583,0.12181,34.352112676056336,20400.676056338027,1.0
Black Sabbath,74,61,30400,0.29348,0.03465,0.20047,35.278688524590166,19502.70491803279,1.0
